species_latin,species_name,name,early ripens,late ripens,origin_year,city,county,state,country,uses,in-db,RIPEN FOR LA,sentence,
Malus domestica,Apple,Hoover,September,October,1850s,,,South Carolina,United States,fp,1,,,
Malus domestica,Apple,Horse,July,August,Mid-1700s,,,North Carolina,United States,cj,1,,Unforgettable tart apple that leaves a piquant memory,
Malus domestica,Apple,Hunge,August,September,1700s,,,North Carolina,United States,f,1,,,
Malus domestica,Apple,Husk Sweet,Late October,Late October,,,,North Carolina,United States,f,1,,,
Malus domestica,Apple,Inducoa No 1,,,,,,,Spain,,0,,,
Malus domestica,Apple,Inducoa No 2,,,,,,,Spain,,0,,,
Malus domestica,Apple,James Grieve,,,1893,,,Scotland,United Kingdom,,0,,,
Malus domestica,Apple,Johnson Keeper,Late October,Late October,Pre-1885,,,Mississippi,United States,f,1,,"Attractive Mississippi Apple, Tastes Great into Spring",
Malus domestica,Apple,Jonalicious,Early September,Late September,1933,,,Texas,United States,f,1,,,
Malus domestica,Apple,Junaluska,Early October,Late October,Early 1800s,,,North Carolina,United States,f,1,,,
Malus domestica,Apple,Katja,,,1947,,,,Sweden,,0,,,
Malus domestica,Apple,Keener Seedling,September,October,Pre-1890,,,North Carolina,United States,f,1,,,
Malus domestica,Apple,Kimrome,Early September,Late September,1870,,,Georgia,United States,f,1,,,
Malus domestica,Apple,King David,October,November,1893,,,Arkansas,United States,fc,1,,,
Malus domestica,Apple,King Soloman,August,September,Pre-1860,,,Georgia,United States,f,1,,,
Malus domestica,Apple,Kinnniards Choice,Early September,Late September,1872,,,Tennessee,United States,fc,1,,,
Malus domestica,Apple,Kuotesaho,,,,,,,Finland,,0,,,
Malus domestica,Apple,Liaofu,June,July,1956,,,,China,f,1,,,
Malus domestica,Apple,Little Benny,Early August,Late August,,,,North Carolina,United States,f,1,,Sour start to a sweet treat, Little apple with a big impact
Malus domestica,Apple,Maca Samba,July,August,,,,,Brazil,f,1,,,
Malus domestica,Apple,Magnolia Gold,September,October,1960,,,Georgia,United States,f,1,,,
Malus domestica,Apple,Magnum Bonum,Early September,Late September,1828,,,North Carolina,United States,fc,1,,,
Malus domestica,Apple,Maharaji,Early August,Late August,Pre-1970s,,,,India,f,1,,Indian Apple Well Adapted to Heat,
Malus domestica,Apple,Manitoba Spy,,,,,,Alberta,Canada,,0,,,
Malus domestica,Apple,Mary Reid,Early August,Late August,,,Caswell County,North Carolina,United States,fcd,1,,,
Malus domestica,Apple,Mattamuskeet,September,October,1800s,,,North Carolina,United States,f,1,,Best if kept in storage until April,
Malus domestica,Apple,May,May,June,1600,,,,,f,1,,,
Malus domestica,Apple,Michelin,October,November,1884,,,,France,y,1,,,
Malus domestica,Apple,Mingan,,,,,,,Spain,,0,,,
Malus domestica,Apple,Mississippi Pippin,Early September,Late September,Pre-1860,,,Mississippi,United States,f,1,,,
Malus domestica,Apple,Mollie's Delicious,July,August,1966,,,New Jersey,United States,f,1,,Pleasing gentle sweetness underneath a mellow lemon scent,
Malus domestica,Apple,Mrs. Bryan,August,September,1870s,,,Georgia,United States,f,1,,,
Malus domestica,Apple,Newtown Pippin,Early October,Late October,1666,,,New York,United States,fj,1,,,
Malus domestica,Apple,Nickajack,Early October,Late October,Pre-1840s,,,North Carolina,United States,fc,1,,,
Malus domestica,Apple,Old Fashioned Limbertwig,Early October,Late October,Early 1800s,,,Georgia,United States,f,1,,,
Malus domestica,Apple,Orei,Early October,Late October,1952,,,Aomori,Japan,f,1,,,
Malus domestica,Apple,Orin,Late October,Late October,Pre-1920,,,Fukushima,Japan,f,1,,,
Malus domestica,Apple,Paducah,August,September,,,,Kentucky,United States,fc,1,,,
Malus domestica,Apple,Parks' Pippin,September,September,Mid-1800s,,,Georgia,United States,cjpy,1,,,
Malus domestica,Apple,Patterson,,,,,,Saskatchewan,Canada,,0,,,
Malus domestica,Apple,Porters Perfection,October,November,Late 1800s,,,,England,y,1,,,
Malus domestica,Apple,Princesa,Early August,Late August,1986,,,,Brazil,f,1,,,
Malus domestica,Apple,Quetta Ambri,Early October,Late October,1900s,,,,Pakistan,f,1,,Well-Known Fine Eating Apple from Pakistan,
Malus domestica,Apple,Rabun Bald,September,October,1890,,,Georgia,United States,f,1,,,
Malus domestica,Apple,Rattle Core,Early July,Late July,Pre-1869,,,North Carolina,United States,f,1,,,
Malus domestica,Apple,Ray,Late August,Late August,1927,,,Mississippi,United States,,1,,,
Malus domestica,Apple,Red Cinnamon,,,,,,,Finland,,0,,,
Malus domestica,Apple,Red Detroit,August,September,,,,Georgia,United States,d,1,,,
Malus domestica,Apple,Red Limbertwig,October,November,1700s,,,Virginia,United States,fjy,1,,,
Malus domestica,Apple,Red Rebel,Early September,Late September,1850,,,Virginia,United States,fj,1,,,
Malus domestica,Apple,Reineta do Caravia,,,,,,Zaragoza,Spain,,0,,,
Malus domestica,Apple,Repinaldo do Liebana,,,,,,Zaragoza,Spain,,0,,,
Malus domestica,Apple,Reverend Morgan,Early August,Late August,1972,,,Texas,United States,f,1,,,
Malus domestica,Apple,Riley,Early August,Late August,,,,Mississippi,United States,f,1,,,
Malus domestica,Apple,Rott Jarnpple,,,,,,,Sweden,,0,,,
Malus domestica,Apple,Rubra Precoce Breviglieri,,,,,,Rubra Precoce Breviglieri,Italy,,0,,,
Malus domestica,Apple,San Jacinto,July,August,1895,,,Georgia,United States,f,1,,,
Malus domestica,Apple,Schumacher,July,August,Late 1700s,,,,Germany,f,1,,,
