"species_latin","species","name","early ripens","late ripens","origin_year","City 1","County 1","State 1","country","uses"
"Malus domestica","Apple","Rebel","September","September",1850,,"Rappahannock County","VA","United States","f"
"Malus domestica","Apple","Red Astrachan","June","July",1835,,,,"Russian Federation","p"
"Malus domestica","Apple","Red Bietigheimer","August","September",1880,,,,"Germany","p"
"Malus domestica","Apple","Red Canada","September","October",1822,,,"MA","United States","fs"
"Malus domestica","Apple","Red Cathead","September","October",1853,,,"VA","United States",
"Malus domestica","Apple","Red Cheese","July","early August",1853,,,"NC","United States","p"
"Malus domestica","Apple","Red Delight","September","October",1960,"Sylacauga",,"AL","United States","f"
"Malus domestica","Apple","Red Detroit","late August","September","early 1900s",,,"GA","United States","p"
"Malus domestica","Apple","Red Hackworth","August","September",1900,,"Morgan County","AL","United States",
"Malus domestica","Apple","Red Limbertwig","October",,,,,,"United States","s"
"Malus domestica","Apple","Red Rebel","August","September","1930s","Wedowee",,"AL","United States",
"Malus domestica","Apple","Red Reese","early October","early October",1911,,"Randolph County","AL","United States",
"Malus domestica","Apple","Red Royal Limbertwig","September","October",,,,,"United States","f"
"Malus domestica","Apple","Red Winter Sweet","October","October",1870,,,"VA","United States",
"Malus domestica","Apple","Regent","September","October",1924,"Minnesota",,,"United States","fs"
"Malus domestica","Apple","Republican Pippin","September","September",1855,,"Lycoming County","PA","United States","p"
"Malus domestica","Apple","Reverend Morgan","August","August",1972,"Houston",,"TX","United States",
"Malus domestica","Apple","Rexrode Beauty","October","October",1993,"Buckhannon",,"WV","United States",
"Malus domestica","Apple","Rhode Island Greening","September","October",1700,"Newport",,"RI","United States","fsp"
"Malus domestica","Apple","Roanoke","September","September",1967,"Blacksburg",,"VA","United States",
"Malus domestica","Apple","Robertson Red","October","October","1870s",,"Robertson County","TN","United States","s"
"Malus domestica","Apple","Rock River Limbertwig",,,,,,,"United States",
"Malus domestica","Apple","Roman Stem","September","September",1868,,,"NJ","United States","f"
"Malus domestica","Apple","Rome Beauty","September","October",1846,"Rome",,"OH","United States","sp"
